movie_name,release_year,runtime,genre,rating,director,cast_1,cast_2,cast_3,cast_4,votes,gross
Soshite chichi ni naru,(2013),121 min,"
Drama            ","

7.8
",Hirokazu Koreeda,Masaharu Fukuyama,Machiko Ono,Yôko Maki,Lily Franky,"27,049",$0.28M
Soul,(2020),100 min,"
Animation, Adventure, Comedy            ","

8.0
",Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton,"357,639",NaN
Sound of Metal,(2019),120 min,"
Drama, Music            ","

7.7
",Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,"142,080",NaN
"South Park: Bigger, Longer & Uncut",(1999),81 min,"
Animation, Comedy, Fantasy            ","

7.7
",Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes,"211,582",$52.04M
Spartacus,(1960),197 min,"
Adventure, Biography, Drama            ","

7.9
",Stanley Kubrick,Anthony Mann,Kirk Douglas,Laurence Olivier,Jean Simmons,"140,200",$30.00M
Special Chabbis,(2013),144 min,"
Crime, Drama, Thriller            ","

8.0
",Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Shergill,"58,042",$1.08M
Spider-Man: Across the Spider-Verse,(2023),140 min,"
Animation, Action, Adventure            ","

8.7
",Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,"265,862",#19
Spider-Man: Into the Spider-Verse,(2018),117 min,"
Animation, Action, Adventure            ","

8.4
",Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,"631,026",$190.24M
Spider-Man: No Way Home,(2021),148 min,"
Action, Adventure, Fantasy            ","

8.2
",Jon Watts,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,"832,412",$804.75M
Spoorloos,(1988),107 min,"
Mystery, Thriller            ","

7.7
",George Sluizer,Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus,"41,778",NaN
Spotlight,(I) (2015),129 min,"
Biography, Crime, Drama            ","

8.1
",Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,"489,703",$45.06M
Stagecoach,(1939),96 min,"
Adventure, Drama, Western            ","

7.8
",John Ford,John Wayne,Claire Trevor,Andy Devine,John Carradine,"52,166",NaN
Stalag 17,(1953),120 min,"
Comedy, Drama, War            ","

8.0
",Billy Wilder,William Holden,Don Taylor,Otto Preminger,Robert Strauss,"57,581",NaN
Stalker,(1979),162 min,"
Drama, Sci-Fi            ","

8.1
",Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,"140,526",$0.23M
Stand by Me,(1986),89 min,"
Adventure, Comedy, Drama            ","

8.1
",Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,"427,048",$52.29M
Star Trek,(2009),127 min,"
Action, Adventure, Sci-Fi            ","

7.9
",J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy,"614,341",$257.73M
Star Trek II: The Wrath of Khan,(1982),113 min,"
Action, Adventure, Sci-Fi            ","

7.7
",Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,"126,924",$78.91M
Star Trek Into Darkness,(2013),132 min,"
Action, Adventure, Sci-Fi            ","

7.7
",J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,"492,564",$228.78M
Star Wars,(1977),121 min,"
Action, Adventure, Fantasy            ","

8.6
",George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,414,665",$322.74M
Star Wars: Episode III - Revenge of the Sith,(2005),140 min,"
Action, Adventure, Fantasy            ","

7.6
",George Lucas,Hayden Christensen,Natalie Portman,Ewan McGregor,Samuel L. Jackson,"824,262",$380.26M
Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,"
Action, Adventure, Fantasy            ","

8.7
",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,343,049",$290.48M
Star Wars: Episode VI - Return of the Jedi,(1983),131 min,"
Action, Adventure, Fantasy            ","

8.3
",Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,094,149",$309.13M
Star Wars: Episode VII - The Force Awakens,(2015),138 min,"
Action, Adventure, Sci-Fi            ","

7.8
",J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson,"957,082",$936.66M
Stardust,(2007),127 min,"
Adventure, Family, Fantasy            ","

7.6
",Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,"279,884",$38.63M
Straight Outta Compton,(2015),147 min,"
Biography, Drama, History            ","

7.8
",F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,"212,644",$161.20M
Strangers on a Train,(1951),101 min,"
Crime, Drama, Film-Noir            ","

7.9
",Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,"138,435",$7.63M
Sullivan's Travels,(1941),90 min,"
Adventure, Comedy, Drama            ","

7.9
",Preston Sturges,Joel McCrea,Veronica Lake,Robert Warwick,William Demarest,"27,896",NaN
Sunrise: A Song of Two Humans,(1927),94 min,"
Drama, Romance            ","

8.1
",F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,"52,898",$0.54M
Sunset Blvd.,(1950),110 min,"
Drama, Film-Noir            ","

8.4
",Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,"230,615",#61
Super 30,(2019),154 min,"
Biography, Drama            ","

7.9
",Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh Sandhu,Veerendra Saxena,"35,035",$2.27M
Superbad,(2007),113 min,"
Comedy            ","

7.6
",Greg Mottola,Michael Cera,Jonah Hill,Christopher Mintz-Plasse,Bill Hader,"612,801",$121.46M
"Swades: We, the People",(2004),210 min,"
Drama, Musical            ","

8.2
",Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smith Seth,"95,275",$1.22M
Sweet Smell of Success,(1957),96 min,"
Drama, Film-Noir            ","

8.0
",Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,"34,571",NaN
Såsom i en spegel,(1961),90 min,"
Drama            ","

7.9
",Ingmar Bergman,Harriet Andersson,Gunnar Björnstrand,Max von Sydow,Lars Passgård,"26,728",NaN
Ta'm e guilass,(1997),95 min,"
Drama            ","

7.7
",Abbas Kiarostami,Homayoun Ershadi,Abdolrahman Bagheri,Afshin Khorshid Bakhtiari,Safar Ali Moradi,"34,444",$0.31M
Taare Zameen Par,(2007),165 min,"
Drama, Family            ","

8.3
",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tanay Chheda,"201,680",$1.22M
Taegukgi hwinalrimyeo,(2004),140 min,"
Action, Drama, War            ","

8.0
",Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,"40,637",$1.11M
Taeksi woonjunsa,(2017),137 min,"
Action, Drama, History            ","

7.9
",Hun Jang,Song Kang-ho,Thomas Kretschmann,Yoo Hae-jin,Ryu Jun-Yeol,"28,732",$1.53M
Taken,(I) (2008),90 min,"
Action, Crime, Thriller            ","

7.8
",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,"621,230",$145.00M
Talvar,(2015),132 min,"
Crime, Drama, Mystery            ","

8.1
",Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,"37,037",$0.34M
Tangled,(2010),100 min,"
Animation, Adventure, Comedy            ","

7.7
",Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,"478,428",$200.82M
Taxi Driver,(1976),114 min,"
Crime, Drama            ","

8.2
",Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,"886,184",$28.26M
Tengoku to jigoku,(1963),143 min,"
Crime, Drama, Mystery            ","

8.4
",Akira Kurosawa,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,"49,807",#86
Tenkuu no Shiro Laputa,(1986),125 min,"
Animation, Adventure, Family            ","

8.0
",Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada,"175,248",NaN
Terminator 2: Judgment Day,(1991),137 min,"
Action, Sci-Fi            ","

8.6
",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,"1,142,660",$204.84M
The Adventures of Robin Hood,(1938),102 min,"
Action, Adventure, Romance            ","

7.9
",Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,"53,408",$3.98M
The African Queen,(1951),105 min,"
Adventure, Drama, Romance            ","

7.7
",John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,"82,384",$0.54M
The Apartment,(1960),125 min,"
Comedy, Drama, Romance            ","

8.3
",Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,"190,329",$18.60M
The Artist,(I) (2011),100 min,"
Comedy, Drama, Romance            ","

7.9
",Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell,"246,182",$44.67M
The Asphalt Jungle,(1950),112 min,"
Crime, Drama, Film-Noir            ","

7.8
",John Huston,Sterling Hayden,Louis Calhern,Jean Hagen,James Whitmore,"28,913",NaN
The Avengers,(2012),143 min,"
Action, Sci-Fi            ","

8.0
",Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,"1,433,765",$623.28M
The Banshees of Inisherin,(2022),114 min,"
Comedy, Drama            ","

7.7
",Martin McDonagh,Colin Farrell,Brendan Gleeson,Kerry Condon,Pat Shortt,"227,128",NaN
The Batman,(2022),176 min,"
Action, Crime, Drama            ","

7.8
",Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,"733,098",$369.35M
The Best Years of Our Lives,(1946),170 min,"
Drama, Romance, War            ","

8.1
",William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,"68,416",$23.65M
The Big Heat,(1953),89 min,"
Crime, Film-Noir, Thriller            ","

7.9
",Fritz Lang,Glenn Ford,Gloria Grahame,Jocelyn Brando,Alexander Scourby,"28,167",NaN
The Big Lebowski,(1998),117 min,"
Comedy, Crime            ","

8.1
",Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,"838,912",$17.50M
The Big Short,(2015),130 min,"
Biography, Comedy, Drama            ","

7.8
",Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,"463,567",$70.26M
The Big Sleep,(1946),114 min,"
Crime, Film-Noir, Mystery            ","

7.9
",Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,"88,824",$6.54M
The Birds,(1963),119 min,"
Drama, Horror, Mystery            ","

7.6
",Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,"199,209",$11.40M
The Blind Side,(2009),129 min,"
Biography, Drama, Sport            ","

7.6
",John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,"351,861",$255.96M
The Blues Brothers,(1980),133 min,"
Action, Adventure, Comedy            ","

7.9
",John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,"208,653",$57.23M
The Boondock Saints,(1999),108 min,"
Action, Crime, Thriller            ","

7.7
",Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,"245,929",$0.03M
The Bourne Identity,(2002),119 min,"
Action, Mystery, Thriller            ","

7.8
",Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,"565,157",$121.66M
The Bourne Supremacy,(2004),108 min,"
Action, Mystery, Thriller            ","

7.7
",Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,"478,501",$176.24M
The Bourne Ultimatum,(2007),115 min,"
Action, Mystery, Thriller            ","

8.0
",Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,"649,519",$227.47M
The Boy in the Striped Pajamas,(2008),94 min,"
Drama, War            ","

7.7
",Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,"235,478",$9.03M
The Breadwinner,(2017),94 min,"
Animation, Drama, Family            ","

7.7
",Nora Twomey,Saara Chaudry,Soma Chhaya,Noorin Gulamgaus,Laara Sadiq,"27,495",$0.31M
The Breakfast Club,(1985),97 min,"
Comedy, Drama            ","

7.8
",John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy,"423,636",$45.88M
The Bridge on the River Kwai,(1957),161 min,"
Adventure, Drama, War            ","

8.1
",David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,"228,613",$44.91M
The Bridges of Madison County,(1995),135 min,"
Drama, Romance            ","

7.6
",Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,"86,383",$71.52M
The Broken Circle Breakdown,(2012),111 min,"
Drama, Music, Romance            ","

7.7
",Felix van Groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,"42,540",$0.18M
The Butterfly Effect,(2004),113 min,"
Drama, Sci-Fi, Thriller            ","

7.6
",Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,"509,507",$57.94M
The Caine Mutiny,(1954),124 min,"
Drama, War            ","

7.7
",Edward Dmytryk,Humphrey Bogart,José Ferrer,Van Johnson,Fred MacMurray,"29,070",$21.75M
The Circus,(1928),72 min,"
Comedy, Family, Romance            ","

8.1
",Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,"35,282",NaN
The Color Purple,(1985),154 min,"
Drama            ","

7.7
",Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,"92,243",$98.47M
The Conversation,(1974),113 min,"
Drama, Mystery, Thriller            ","

7.8
",Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,"117,613",$4.42M
The Count of Monte Cristo,(2002),131 min,"
Action, Adventure, Drama            ","

7.7
",Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,"145,089",$54.23M
The Curious Case of Benjamin Button,(2008),166 min,"
Drama, Fantasy, Romance            ","

7.8
",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,"678,263",$127.51M
The Dark Knight,(2008),152 min,"
Action, Crime, Drama            ","

9.0
",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,783,325",$534.86M
The Dark Knight Rises,(2012),164 min,"
Action, Drama, Thriller            ","

8.4
",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,"1,777,655",$448.14M
The Day of the Jackal,(1973),143 min,"
Crime, Drama, Thriller            ","

7.8
",Fred Zinnemann,Edward Fox,Terence Alexander,Michel Auclair,Alan Badel,"43,485",$16.06M
The Day the Earth Stood Still,(1951),92 min,"
Drama, Sci-Fi            ","

7.8
",Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,"84,500",NaN
The Deer Hunter,(1978),183 min,"
Drama, War            ","

8.1
",Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,"352,440",$48.98M
The Departed,(2006),151 min,"
Crime, Drama, Thriller            ","

8.5
",Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,"1,381,122",$132.38M
The Dirty Dozen,(1967),150 min,"
Action, Adventure, War            ","

7.7
",Robert Aldrich,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,"77,226",$45.30M
The Elephant Man,(1980),124 min,"
Biography, Drama            ","

8.2
",David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,"252,049",#156
The Exorcist,(1973),122 min,"
Horror            ","

8.1
",William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,"432,560",$232.91M
The Fall,(I) (2006),117 min,"
Adventure, Drama, Fantasy            ","

7.8
",Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,"115,151",$2.28M
The Father,(I) (2020),97 min,"
Drama, Mystery            ","

8.2
",Florian Zeller,Anthony Hopkins,Olivia Colman,Mark Gatiss,Olivia Williams,"177,625",#133
The Fault in Our Stars,(2014),126 min,"
Drama, Romance            ","

7.7
",Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,"392,685",$124.87M
The Fifth Element,(1997),126 min,"
Action, Adventure, Sci-Fi            ","

7.6
",Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,"492,499",$63.54M
The Fighter,(I) (2010),116 min,"
Action, Biography, Drama            ","

7.8
",David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,"381,697",$93.62M
The Fly,(1986),96 min,"
Drama, Horror, Sci-Fi            ","

7.6
",David Cronenberg,Jeff Goldblum,Geena Davis,John Getz,Joy Boushel,"194,861",$40.46M
The French Connection,(1971),104 min,"
Action, Crime, Drama            ","

7.7
",William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,"130,942",$15.63M
The Fugitive,(1993),130 min,"
Action, Crime, Drama            ","

7.8
",Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,"309,447",$183.88M
The Game,(1997),129 min,"
Drama, Mystery, Thriller            ","

7.7
",David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,"416,099",$48.32M
The General,(1926),78 min,"
Action, Adventure, Comedy            ","

8.1
",Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,"95,615",$1.03M
The Gentlemen,(2019),113 min,"
Action, Comedy, Crime            ","

7.8
",Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,"371,151",$36.47M
The Girl with the Dragon Tattoo,(2011),158 min,"
Crime, Drama, Mystery            ","

7.8
",David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,"481,503",$102.52M
The Godfather,(1972),175 min,"
Crime, Drama            ","

9.2
",Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,"1,952,177",$134.97M
The Godfather Part II,(1974),202 min,"
Crime, Drama            ","

9.0
",Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,"1,325,777",$57.30M
The Gold Rush,(1925),95 min,"
Adventure, Comedy, Drama            ","

8.1
",Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman,"115,784",$5.45M
The Goonies,(1985),114 min,"
Adventure, Comedy, Family            ","

7.7
",Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,"289,880",$61.50M
The Graduate,(1967),106 min,"
Comedy, Drama, Romance            ","

8.0
",Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,"283,486",$104.95M
The Grand Budapest Hotel,(2014),99 min,"
Adventure, Comedy, Crime            ","

8.1
",Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,"858,649",$59.10M
The Grapes of Wrath,(1940),129 min,"
Drama            ","

8.1
",John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin,"97,697",$0.06M
The Great Dictator,(1940),125 min,"
Comedy, Drama, War            ","

8.4
",Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,"232,141",$0.29M
The Great Escape,(1963),172 min,"
Adventure, Drama, History            ","

8.2
",John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,"253,014",$12.10M
The Green Mile,(1999),189 min,"
Crime, Drama, Fantasy            ","

8.6
",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,"1,362,002",$136.80M
The Hangover,(2009),100 min,"
Comedy            ","

7.7
",Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,"821,803",$277.32M
The Hateful Eight,(2015),168 min,"
Crime, Drama, Mystery            ","

7.8
",Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,"637,112",$54.12M
The Help,(2011),146 min,"
Drama            ","

8.1
",Tate Taylor,Viola Davis,Emma Stone,Octavia Spencer,Bryce Dallas Howard,"479,945",$169.71M
The Hobbit: An Unexpected Journey,(2012),169 min,"
Adventure, Fantasy            ","

7.8
",Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,"853,475",$303.00M
The Hobbit: The Desolation of Smaug,(2013),161 min,"
Adventure, Drama, Fantasy            ","

7.8
",Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,"687,749",$258.37M
The Hustler,(1961),134 min,"
Drama, Sport            ","

8.0
",Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,"85,153",$8.28M
The Imitation Game,(2014),114 min,"
Biography, Drama, Thriller            ","

8.0
",Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,"803,485",$91.13M
The Incredibles,(2004),115 min,"
Animation, Action, Adventure            ","

8.0
",Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,"779,695",$261.44M
The Innocents,(1961),100 min,"
Horror            ","

7.8
",Jack Clayton,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,"32,129",$2.62M
The Insider,(1999),157 min,"
Biography, Drama, Thriller            ","

7.8
",Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,"176,921",$28.97M
The Invisible Man,(1933),71 min,"
Horror, Sci-Fi            ","

7.6
",James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers,"38,215",NaN
The Irishman,(2019),209 min,"
Biography, Crime, Drama            ","

7.8
",Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel,"413,542",$7.00M
The Iron Giant,(1999),86 min,"
Animation, Action, Adventure            ","

8.1
",Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,"216,354",$23.16M
The Jungle Book,(1967),78 min,"
Animation, Adventure, Comedy            ","

7.6
",Wolfgang Reitherman,Phil Harris,Sebastian Cabot,Louis Prima,Bruce Reitherman,"193,344",$141.84M
The Kid,(1921),68 min,"
Comedy, Drama, Family            ","

8.2
",Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,"131,546",$5.45M
The Killing,(1956),84 min,"
Crime, Drama, Film-Noir            ","

7.9
",Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,"94,679",NaN
The Killing Fields,(1984),141 min,"
Biography, Drama, History            ","

7.8
",Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,"57,931",$34.70M
The King of Comedy,(1982),109 min,"
Comedy, Crime, Drama            ","

7.8
",Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,"112,909",$2.50M
The King's Speech,(2010),118 min,"
Biography, Drama, History            ","

8.0
",Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,"697,607",$138.80M
The Lady Vanishes,(1938),96 min,"
Mystery, Thriller            ","

7.7
",Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty,"55,612",NaN
The Last Emperor,(1987),163 min,"
Biography, Drama, History            ","

7.7
",Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,"108,627",$43.98M
The Last King of Scotland,(2006),123 min,"
Biography, Drama, History            ","

7.6
",Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,"192,783",$17.61M
The Last Picture Show,(1971),118 min,"
Drama, Romance            ","

8.0
",Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,"50,971",$29.13M
The Last Samurai,(2003),154 min,"
Action, Drama            ","

7.8
",Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,"458,864",$111.11M
The Last of the Mohicans,(1992),112 min,"
Action, Adventure, Drama            ","

7.7
",Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,"181,029",$75.51M
The Lego Movie,(2014),100 min,"
Animation, Action, Adventure            ","

7.7
",Phil Lord,Christopher Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,"378,340",$257.76M
The Lion King,(1994),88 min,"
Animation, Adventure, Drama            ","

8.5
",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,"1,106,614",$422.78M
The Lion in Winter,(1968),134 min,"
Biography, Drama, History            ","

7.9
",Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,"33,173",$22.28M
The Longest Day,(1962),178 min,"
Action, Drama, History            ","

7.7
",Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,"58,051",$39.10M
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"
Action, Adventure, Drama            ","

8.8
",Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,946,402",$315.54M
The Lord of the Rings: The Return of the King,(2003),201 min,"
Action, Adventure, Drama            ","

9.0
",Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,918,164",$377.85M
The Lord of the Rings: The Two Towers,(2002),179 min,"
Action, Adventure, Drama            ","

8.8
",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,730,949",$342.55M
The Lost Weekend,(1945),101 min,"
Drama, Film-Noir            ","

7.9
",Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,"39,187",$9.46M
The Lunchbox,(2013),104 min,"
Drama, Romance            ","

7.8
",Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,"59,322",$4.23M
The Machinist,(2004),101 min,"
Drama, Thriller            ","

7.6
",Brad Anderson,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian,"406,857",$1.08M
The Magdalene Sisters,(2002),114 min,"
Drama            ","

7.7
",Peter Mullan,Eileen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Marie Duff,"28,048",$4.89M
The Magnificent Seven,(1960),128 min,"
Action, Adventure, Drama            ","

7.7
",John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,"99,789",$4.91M
The Maltese Falcon,(1941),100 min,"
Crime, Film-Noir, Mystery            ","

8.0
",John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre,"163,855",$2.11M
The Man Who Shot Liberty Valance,(1962),123 min,"
Drama, Western            ","

8.1
",John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,"80,175",NaN
The Man Who Would Be King,(1975),129 min,"
Adventure, War            ","

7.8
",John Huston,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey,"51,021",NaN
The Man from Earth,(2007),87 min,"
Drama, Fantasy, Mystery            ","

7.8
",Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford,"195,110",NaN
The Manchurian Candidate,(1962),126 min,"
Drama, Thriller            ","

7.9
",John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,"78,137",NaN
